	chr7:p22.3	chr7:p13	chr7:q31.2	chr8:p23.1	chr8:q21.3	chr8:q24.22	chr10:p15.3	chr10:q22.1	chr10:q25.1	chr12:p13.32	chr12:q13.13	chr12:q24.11
HNSCC5_p7_HNSCC5_P7_G04	1.0	1.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0
HNSCC5_p13_P13_H01	1.0	1.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0
HNSCC5_p14_HNSCC5_P14_LN_G09	1.0	1.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0
HNSCC5_p15_HNSCC5_P15_B08	1.0	1.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0	0.0	1.0	1.0
HNSCC5_p14_HNSCC5_P14_LN_C01	1.0	1.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0	0.0	1.0	1.0
HNSCC5_p14_HNSCC5_P14_LN_B06	1.0	1.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0	0.0	1.0	1.0
HNSCC5_p9_HNSCC5_P9_E08	1.0	1.0	0.0	1.0	2.0	2.0	1.0	1.0	1.0	0.0	1.0	1.0
HNSCC5_p7_HNSCC5_P7_A12	1.0	1.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0
HNSCC5_p5_P5_A08	1.0	1.0	0.0	1.0	2.0	2.0	1.0	1.0	1.0	0.0	1.0	1.0
HNSCC5_p3_HNSCC5_P3_C11	1.0	1.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0
HNSCC5_p13_P13_C07	1.0	1.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0
HNSCC5_p9_HNSCC5_P9_B09	1.0	1.0	0.0	1.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0
HNSCC5_p7_HNSCC5_P7_D10	1.0	1.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0	0.0	1.0	1.0
HNSCC5_p5_P5_B05	1.0	1.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0	0.0	1.0	1.0
HNSCC5_p7_HNSCC5_P7_A04	1.0	1.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0
HNSCC5_p7_HNSCC5_P7_B09	1.0	1.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0	0.0	1.0	1.0
HNSCC5_p9_HNSCC5_P9_D05	1.0	1.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0	0.0	1.0	1.0
HNSCC5_p9_HNSCC5_P9_E10	1.0	1.0	0.0	1.0	2.0	2.0	1.0	1.0	1.0	0.0	1.0	1.0
